student_id,student_class,board,school_type,district,aggregate_percentage,annual_family_income,budget_for_education,travel_radius_km,needs_hostel,needs_scholarship,gender,caste_category,mark_math,mark_science,mark_social,mark_english,mark_regional_language,apt_logical,apt_verbal,apt_quantitative,apt_social,apt_creative,apt_technical,interest_mathematics,interest_biology,interest_computers,interest_sports,interest_arts,interest_music,interest_social_service,interest_business,interest_nature,interest_writing,interest_politics,interest_cooking,interest_electronics,interest_farming,interest_healthcare,interest_teaching,target_stream,target_course,target_career_cluster,mark_core_subject_1,mark_core_subject_2,mark_elective_1,mark_elective_2
11,10,State Board,government,Erode,65.8,41327,125555,30,False,False,Female,OBC,75.5,64.3,59.0,62.5,67.7,52.5,63.4,71.1,57.9,66.9,68.4,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,Vocational,Paramedical Diploma,Healthcare & Medicine,,,,
12,12,State Board,government,Madurai,70.5,41250,285174,30,False,False,Male,SC,,,,74.7,,67.4,54.6,76.9,64.5,55.2,41.2,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,Commerce,BCom,Business & Finance,77.6,71.6,63.8,64.6
13,12,ICSE,government,Vellore,63.1,72662,205111,20,False,True,Male,General,,,,51.1,,75.5,62.7,78.5,68.0,36.7,40.3,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,Commerce,BBA Finance,Business & Finance,77.8,68.1,70.6,47.8
14,12,CBSE,government,Dindigul,77.2,12957,203598,75,False,False,Female,OBC,,,,73.8,,78.3,49.0,73.2,58.1,55.1,30.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Commerce,BMS,Business & Finance,83.0,87.2,76.1,65.9
15,12,ICSE,government,Karur,29.9,15064,28057,50,False,False,Other,General,,,,27.8,,59.0,78.2,52.8,69.7,91.3,44.7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,Arts,BA Psychology,Education & Social Work,21.5,28.3,35.9,35.9
16,12,CBSE,government,Karur,72.8,38184,49353,50,True,True,Female,General,,,,66.9,,63.3,76.4,60.6,74.6,54.8,29.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Commerce,BMS,Business & Finance,79.6,64.0,83.7,69.8
17,12,ICSE,private,Tirunelveli,81.2,26628,185709,100,False,False,Male,ST,,,,73.8,,80.5,57.4,75.6,50.3,74.1,74.7,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Science,Nursing (BSc),Healthcare & Medicine,78.5,84.3,75.1,94.1
18,10,CBSE,private,Ariyalur,57.8,76987,40606,30,False,False,Other,General,61.8,49.8,61.9,54.2,61.1,60.2,79.4,78.1,48.2,47.3,43.8,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,Commerce,Hotel Management,Business & Finance,,,,
19,10,ICSE,aided,Thanjavur,73.5,28957,171179,75,False,True,Other,OBC,70.3,77.2,72.3,70.2,77.3,65.7,80.4,56.2,67.5,73.8,59.2,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,Arts,BA Psychology,Education & Social Work,,,,
20,10,State Board,government,Ariyalur,65.7,19344,90185,75,False,True,Female,ST,59.6,59.9,69.2,67.7,71.9,50.2,72.5,64.4,78.6,49.0,52.5,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,Commerce,BBA,Business & Finance,,,,
21,10,CBSE,private,Coimbatore,58.9,193401,54001,75,False,True,Male,General,67.0,60.7,50.8,58.8,57.4,70.9,52.6,86.1,36.0,76.8,79.7,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Science,BSc Physics,Science & Research,,,,
22,12,Matriculation,government,Ariyalur,95.5,49980,94465,20,True,True,Female,General,,,,99.0,,63.5,40.8,73.8,71.6,46.9,40.1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Commerce,CA Foundation,Business & Finance,100.0,99.4,89.9,89.3
23,10,ICSE,private,Chennai,62.0,63198,36485,100,False,True,Male,ST,64.1,57.1,52.1,63.2,73.4,67.4,54.9,45.0,58.8,70.0,69.2,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,Vocational,Polytechnic,Trades & Skilled Work,,,,
24,12,ICSE,government,Trichy,50.3,19153,291354,50,False,False,Male,OBC,,,,63.5,,57.6,69.8,76.7,68.6,40.1,51.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Commerce,Hotel Management,Business & Finance,34.6,54.2,55.3,43.7
25,12,ICSE,government,Thanjavur,71.8,38735,130492,50,False,True,Other,General,,,,57.3,,83.6,59.3,67.3,71.9,60.6,40.8,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,Commerce,BBA,Business & Finance,71.5,64.0,78.1,88.0
26,10,State Board,private,Vellore,59.8,65430,258244,50,True,False,Other,ST,51.4,59.0,65.1,59.2,64.4,56.0,67.7,69.6,59.9,72.4,85.0,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,Vocational,Animation Diploma,Arts & Media,,,,
27,12,Matriculation,aided,Ariyalur,48.3,23842,262991,10,False,True,Other,ST,,,,40.4,,68.2,53.2,64.9,46.7,50.2,54.1,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,Science,MBBS/BDS,Healthcare & Medicine,47.8,61.7,47.5,43.9
28,10,Matriculation,private,Dindigul,65.9,80867,84045,10,False,True,Female,OBC,64.2,71.0,66.7,63.5,63.9,51.0,84.0,32.3,72.5,81.6,34.1,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,Arts,BA History,Education & Social Work,,,,
29,10,ICSE,government,Erode,97.4,37030,190058,100,False,False,Other,SC,97.0,98.8,100.0,97.6,93.8,76.4,50.6,89.9,68.6,57.6,79.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,Science,BTech/BE,Engineering & Technology,,,,
30,10,CBSE,government,Vellore,62.8,47413,259441,100,False,True,Other,OBC,67.0,57.7,54.4,69.0,65.9,34.1,48.5,36.3,55.7,68.7,68.3,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,Vocational,Paramedical Diploma,Healthcare & Medicine,,,,
31,12,CBSE,government,Ariyalur,54.6,36999,43675,20,False,True,Female,OBC,,,,51.6,,61.5,61.1,71.4,67.2,62.2,87.1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Science,Pharmacy (BPharm),Healthcare & Medicine,55.2,54.1,53.7,58.6
32,12,State Board,private,Chennai,63.7,263504,24668,30,True,True,Other,General,,,,48.7,,65.8,74.5,81.5,63.9,61.7,36.7,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,Commerce,BCom,Business & Finance,63.3,75.2,62.9,68.6
33,10,ICSE,government,Trichy,62.4,59231,141082,20,False,True,Other,OBC,58.8,68.4,53.3,65.2,66.5,77.8,71.4,78.9,68.2,37.1,52.8,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,Commerce,CA Foundation,Business & Finance,,,,
34,12,State Board,government,Vellore,68.5,25689,130006,50,False,False,Female,OBC,,,,72.1,,74.8,75.0,58.4,56.9,40.1,54.2,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,Commerce,BBA Marketing,Business & Finance,54.1,77.1,67.2,72.2
35,12,State Board,government,Ariyalur,80.2,115617,75031,10,False,True,Male,SC,,,,83.7,,66.6,61.7,81.5,41.6,40.6,90.8,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,Science,BSc Math,Science & Research,74.3,79.5,83.8,79.9
36,10,CBSE,government,Perambalur,44.8,22546,72389,50,False,True,Female,SC,54.5,26.4,56.9,39.8,46.5,52.5,71.8,44.4,75.9,88.8,30.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Arts,BJournalism,Arts & Media,,,,
37,10,State Board,private,Thanjavur,80.8,70763,93940,10,True,False,Male,General,85.2,79.2,85.1,73.1,81.3,59.0,74.2,32.9,66.5,78.6,45.3,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Arts,BA English,Arts & Media,,,,
38,10,State Board,government,Namakkal,96.9,12485,161949,50,False,False,Male,OBC,100.0,84.4,100.0,100.0,100.0,62.4,54.9,73.5,66.4,41.9,61.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,Commerce,BMS,Business & Finance,,,,
39,10,Matriculation,government,Dindigul,57.0,20691,193102,30,False,True,Male,OBC,50.3,62.4,63.6,43.7,64.8,75.1,55.2,71.0,63.4,50.8,67.4,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,Science,BSc Agriculture,Agriculture & Environment,,,,
40,12,CBSE,government,Tirunelveli,75.0,70087,21351,100,False,True,Other,OBC,,,,73.7,,91.2,60.6,69.2,47.2,45.7,72.8,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,Science,BTech/BE,Engineering & Technology,67.5,81.3,84.9,67.6
41,12,Matriculation,private,Villupuram,64.2,108096,245824,100,False,False,Other,ST,,,,64.3,,55.6,71.9,63.7,43.4,66.4,85.9,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,Science,Pharmacy (BPharm),Healthcare & Medicine,71.6,64.0,59.0,61.9
42,10,State Board,private,Tirunelveli,73.7,68672,219143,10,False,False,Male,ST,64.1,76.3,70.5,78.7,79.1,67.6,61.2,74.5,46.2,52.1,43.1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,Commerce,BCom Computer Apps,Engineering & Technology,,,,
43,12,CBSE,government,Tirunelveli,70.8,54583,89109,75,True,True,Male,SC,,,,70.4,,37.8,69.6,44.8,78.5,85.7,23.9,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,Arts,BA English,Arts & Media,81.4,64.5,66.6,71.0
44,12,State Board,private,Cuddalore,47.4,47057,282666,75,False,True,Female,General,,,,48.5,,61.7,57.2,67.8,54.4,73.2,60.3,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,Vocational,Paramedical Diploma,Healthcare & Medicine,44.5,54.7,47.8,41.3
45,10,Matriculation,government,Namakkal,44.5,18346,294501,30,False,True,Male,OBC,53.5,42.9,40.7,48.3,37.1,75.9,55.6,85.4,47.8,51.4,83.7,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Science,BCA,Engineering & Technology,,,,
46,10,ICSE,government,Cuddalore,64.6,33662,147286,10,False,True,Female,SC,58.4,53.9,78.8,66.2,65.6,56.4,76.7,46.8,64.1,79.2,42.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,Arts,BA Political Science,Government & Civil Services,,,,
47,10,ICSE,government,Karur,58.9,41419,58327,50,False,True,Female,OBC,59.8,46.9,78.6,60.7,48.5,49.5,85.1,29.7,86.9,86.5,45.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,Arts,BFA,Arts & Media,,,,
48,12,Matriculation,aided,Dharmapuri,50.7,139483,138742,10,False,True,Female,OBC,,,,56.2,,70.5,52.4,90.8,57.1,48.4,87.3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Science,BSc Agriculture,Agriculture & Environment,45.5,35.2,57.9,58.6
49,12,ICSE,aided,Tirunelveli,91.6,78818,240172,75,True,False,Male,General,,,,83.1,,64.2,69.0,88.6,29.6,61.4,76.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,Science,MBBS/BDS,Healthcare & Medicine,100.0,95.1,86.4,93.6
50,12,State Board,private,Salem,70.8,14612,135459,10,False,True,Female,General,,,,65.5,,72.2,36.5,99.0,62.0,48.2,71.5,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,Science,BCA,Engineering & Technology,60.8,100.0,68.3,59.6
51,12,ICSE,private,Karur,71.9,77596,189251,10,False,False,Female,OBC,,,,75.2,,67.9,43.9,50.8,66.6,77.3,82.4,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Vocational,Diploma Engineering,Trades & Skilled Work,68.4,67.8,65.8,82.1
52,12,Matriculation,government,Trichy,58.0,44000,24676,50,False,True,Male,SC,,,,59.5,,61.8,49.0,89.5,44.1,56.6,52.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,Commerce,BBA,Business & Finance,58.4,62.7,54.7,54.8
53,12,CBSE,government,Cuddalore,96.8,34838,66450,75,True,True,Female,SC,,,,86.7,,72.4,39.3,63.9,46.2,47.7,84.8,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,Science,BSc Chemistry,Science & Research,100.0,97.5,100.0,100.0
54,12,ICSE,government,Kanchipuram,70.6,97669,182180,75,False,True,Other,OBC,,,,78.0,,52.7,81.7,60.3,78.8,84.0,28.6,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,Arts,BA Psychology,Education & Social Work,56.5,67.7,75.1,75.9
55,12,CBSE,government,Dindigul,48.4,136598,100971,20,False,True,Other,SC,,,,49.3,,38.1,65.9,37.5,69.7,76.9,30.4,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,Arts,BJournalism,Arts & Media,47.6,34.2,56.1,54.6
56,12,ICSE,government,Kanchipuram,56.3,126124,233641,100,True,False,Female,OBC,,,,57.8,,49.9,87.8,47.2,59.2,70.4,28.0,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,Arts,BA Economics,Business & Finance,41.3,53.8,61.1,67.5
57,12,State Board,private,Coimbatore,55.0,30596,39057,30,False,True,Male,General,,,,49.3,,63.3,54.9,68.1,53.7,48.0,72.6,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,Science,BSc Physics,Science & Research,58.5,56.3,50.3,60.6
58,10,Matriculation,government,Kanchipuram,60.2,46753,264256,10,True,False,Female,General,70.5,50.9,53.2,61.0,65.6,49.4,61.5,92.4,56.4,59.4,63.4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Commerce,CA Foundation,Business & Finance,,,,
59,12,Matriculation,government,Vellore,76.0,78043,11981,50,True,False,Female,OBC,,,,71.1,,69.4,84.8,57.9,68.4,72.2,32.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,Arts,BJournalism,Arts & Media,64.0,89.0,80.5,75.5
60,10,State Board,private,Madurai,71.5,130671,162397,75,False,True,Other,General,72.1,80.4,64.4,65.0,75.8,54.7,36.8,70.2,55.2,66.0,77.0,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,Science,Nursing (BSc),Healthcare & Medicine,,,,
61,10,ICSE,private,Cuddalore,73.1,40809,298296,10,False,True,Female,OBC,73.6,65.9,70.4,75.1,80.5,64.1,75.4,76.0,70.6,35.0,30.4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Commerce,BBA Finance,Business & Finance,,,,
62,10,Matriculation,private,Cuddalore,78.7,51610,132997,50,False,True,Female,General,88.2,77.2,64.7,90.8,72.8,40.9,76.4,41.4,80.1,68.1,37.2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Arts,BA Political Science,Government & Civil Services,,,,
63,10,ICSE,private,Villupuram,59.9,24709,78702,20,False,True,Female,OBC,65.0,63.9,54.1,65.1,51.5,51.0,70.7,62.9,54.0,69.2,79.1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,Vocational,Diploma Engineering,Trades & Skilled Work,,,,
64,10,Matriculation,aided,Cuddalore,90.6,22995,163698,50,True,True,Other,General,78.4,84.2,97.8,100.0,92.6,61.6,55.3,70.0,71.1,42.8,43.2,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,Commerce,BBA Finance,Business & Finance,,,,
65,12,Matriculation,aided,Cuddalore,82.7,114694,103268,30,False,True,Female,OBC,,,,87.9,,50.9,86.1,38.4,76.7,79.5,63.6,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,Arts,BA History,Education & Social Work,80.5,91.1,75.3,78.6
66,12,State Board,government,Villupuram,49.9,177193,84625,50,False,False,Female,OBC,,,,39.0,,69.7,71.2,84.1,59.8,45.0,47.8,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,Commerce,BCom Computer Apps,Engineering & Technology,51.1,61.2,48.0,50.1
67,12,Matriculation,government,Perambalur,70.1,56522,219436,75,False,True,Other,OBC,,,,73.1,,59.7,59.0,68.9,49.6,53.7,70.3,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,Science,BSc Agriculture,Agriculture & Environment,73.9,78.0,60.8,64.5
68,10,Matriculation,private,Coimbatore,69.8,133629,194657,100,True,True,Female,OBC,73.2,72.1,66.0,71.3,66.4,77.1,54.6,67.2,32.2,43.8,63.7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Science,BTech/BE,Engineering & Technology,,,,
69,12,State Board,private,Namakkal,76.2,79962,206340,75,True,False,Male,SC,,,,74.4,,55.3,62.6,71.0,72.8,46.2,57.9,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Commerce,Hotel Management,Business & Finance,69.8,77.2,73.1,86.5
70,10,State Board,private,Madurai,55.6,35736,87712,50,False,False,Other,OBC,57.8,56.8,44.1,64.6,54.7,60.4,96.0,62.6,65.6,59.9,41.2,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Commerce,Hotel Management,Business & Finance,,,,
71,12,State Board,government,Kanchipuram,80.3,79947,87838,20,True,True,Female,General,,,,70.6,,73.5,47.8,69.9,43.8,60.5,76.8,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,Science,BCA,Engineering & Technology,89.9,81.3,81.9,77.7
72,10,Matriculation,aided,Kanchipuram,69.4,204931,223114,100,False,True,Male,OBC,86.1,69.7,56.0,69.3,66.0,77.0,46.8,58.1,57.9,47.2,69.1,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,Science,BSc Math,Science & Research,,,,
73,12,Matriculation,government,Ariyalur,53.8,58182,178851,75,False,False,Other,OBC,,,,45.1,,58.1,73.5,27.7,77.9,70.2,25.8,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,Arts,BA Political Science,Government & Civil Services,51.6,52.0,65.2,55.1
74,10,State Board,government,Namakkal,64.1,209340,144288,100,False,True,Female,ST,49.3,75.2,59.0,63.1,73.9,70.0,78.5,31.5,84.9,90.4,37.7,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,Arts,BA English,Arts & Media,,,,
75,12,ICSE,private,Dindigul,31.2,7363,77238,50,False,True,Other,OBC,,,,28.0,,75.9,51.5,82.7,51.8,50.4,88.4,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,Science,BSc Chemistry,Science & Research,41.8,27.9,35.9,22.5
76,10,Matriculation,private,Kanchipuram,47.0,115557,276418,75,True,True,Male,General,48.9,38.5,51.7,47.6,48.5,45.7,77.8,46.6,79.6,74.5,29.8,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,Arts,BFA,Arts & Media,,,,
77,10,Matriculation,government,Ariyalur,58.2,64192,130533,50,False,True,Male,SC,54.8,60.0,58.9,55.9,61.3,66.1,60.5,81.7,46.8,56.0,79.1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,Science,BSc Chemistry,Science & Research,,,,
78,10,CBSE,government,Dharmapuri,71.8,47136,260038,10,False,False,Male,General,70.1,81.4,69.0,72.4,66.1,74.2,46.4,76.3,47.4,52.6,67.7,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Science,Pharmacy (BPharm),Healthcare & Medicine,,,,
79,12,State Board,private,Salem,52.4,64435,82406,100,True,True,Other,OBC,,,,46.1,,53.9,57.9,34.1,53.6,78.1,42.1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Arts,BJournalism,Arts & Media,47.5,53.8,53.0,61.4
80,10,State Board,aided,Erode,55.7,12209,153467,30,False,True,Other,General,51.6,62.8,44.7,60.1,59.5,73.5,62.3,89.2,65.3,48.2,28.9,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,Commerce,BMS,Business & Finance,,,,
81,12,State Board,government,Kanchipuram,79.0,50225,220537,20,False,True,Male,General,,,,88.2,,69.5,97.4,33.9,68.5,99.3,43.2,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,Arts,BFA,Arts & Media,82.5,66.1,94.7,63.3
82,12,CBSE,private,Tirunelveli,63.6,79673,137629,100,True,False,Female,OBC,,,,62.9,,85.3,64.6,82.6,55.8,52.0,89.4,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Science,BSc Chemistry,Science & Research,78.2,55.9,57.6,63.2
83,12,Matriculation,government,Vellore,72.1,195305,154879,75,True,False,Male,ST,,,,69.6,,50.5,66.4,34.1,67.9,61.9,35.4,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,Arts,BA Political Science,Government & Civil Services,75.9,75.3,77.2,62.7
84,12,State Board,government,Kanchipuram,56.4,39552,32916,20,False,True,Female,OBC,,,,39.5,,73.4,55.9,77.9,38.5,46.9,71.5,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,Science,Pharmacy (BPharm),Healthcare & Medicine,62.6,57.9,63.0,58.9
85,10,ICSE,private,Trichy,35.3,31357,233715,10,True,True,Other,General,43.3,36.1,34.7,33.3,29.3,71.4,56.0,76.1,40.8,55.2,61.5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,Science,BSc Math,Science & Research,,,,
86,10,ICSE,government,Villupuram,60.6,40078,88665,10,False,True,Other,ST,54.3,58.8,63.1,59.2,67.7,84.8,65.3,75.1,65.2,35.2,62.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,Commerce,CA Foundation,Business & Finance,,,,
87,10,CBSE,government,Dharmapuri,61.1,124532,194423,100,False,False,Male,SC,65.2,52.1,68.0,67.3,52.7,86.9,54.5,67.6,31.9,74.7,97.3,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Science,BCA,Engineering & Technology,,,,
88,12,CBSE,government,Salem,74.8,77886,78664,30,False,False,Female,SC,,,,64.7,,64.7,72.7,42.1,65.8,84.2,39.3,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Arts,BA History,Education & Social Work,80.4,69.4,82.7,76.6
89,12,ICSE,government,Vellore,70.9,39191,290836,50,False,False,Female,SC,,,,67.6,,68.5,52.2,82.3,54.3,59.0,72.7,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,Science,BSc Agriculture,Agriculture & Environment,81.8,60.9,72.7,71.5
90,10,State Board,aided,Dindigul,37.3,90275,244697,10,False,False,Female,General,36.9,49.1,37.1,34.6,28.6,82.7,68.6,65.2,60.1,46.9,69.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Science,BSc Math,Science & Research,,,,
91,12,State Board,private,Cuddalore,86.5,64709,240505,50,False,True,Other,SC,,,,71.2,,81.1,44.3,65.3,29.3,55.1,75.8,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,Science,Pharmacy (BPharm),Healthcare & Medicine,100.0,82.8,90.8,87.8
92,12,State Board,government,Villupuram,71.8,129951,243801,100,False,True,Other,SC,,,,78.4,,64.2,15.6,62.5,59.3,60.7,68.4,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,Vocational,Diploma Engineering,Trades & Skilled Work,66.5,68.1,78.7,67.3
93,10,ICSE,aided,Dharmapuri,85.2,34145,214316,100,False,True,Female,OBC,98.9,85.7,73.6,79.4,88.4,65.1,66.6,77.0,60.4,28.1,49.9,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Commerce,BCom,Business & Finance,,,,
94,10,ICSE,aided,Vellore,50.4,46068,195498,10,False,True,Other,General,38.5,55.4,52.0,54.4,51.9,58.8,71.0,44.2,66.7,80.3,40.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,Arts,BJournalism,Arts & Media,,,,
95,12,State Board,government,Madurai,82.6,43753,241766,10,True,True,Male,General,,,,76.0,,64.8,64.9,58.1,57.1,38.8,83.7,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,Vocational,Fashion Design Diploma,Arts & Media,83.0,85.4,86.4,82.2
96,10,Matriculation,private,Ariyalur,54.8,18568,54541,30,True,True,Other,OBC,50.1,53.1,79.0,47.5,44.3,46.7,73.3,53.5,78.0,90.1,38.4,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,Arts,BA Social Work,Education & Social Work,,,,
